preflop,flop,turn,river,total
"(0.02, 0.02)","(0.0, 0.02)","(0.0125, 0.0325)","(0, 0.0325)",0.0325
"(0.021, 0.021)","(0.047, 0.068)","(0.095, 0.163)","(0.0, 0.163)",0.163
"(0.025, 0.025)","(0.018, 0.043)","(0.0, 0.043)","(0.136, 0.179)",0.179
"(0.021, 0.021)","(0.0727, 0.0937)","(0.2886, 0.38230000000000003)","(0.0, 0.38230000000000003)",0.38230000000000003
"(0.021, 0.021)","(0.0727, 0.0937)","(0.2886, 0.38230000000000003)","(0.6177, 1.0)",1.0
"(0.021, 0.021)","(0.0235, 0.0445)","(0.0, 0.0445)","(0.094, 0.1385)",0.1385
"(0.021, 0.021)","(0.0235, 0.0445)","(0.0, 0.0445)","(0.0, 0.0445)",0.0445
"(0.03, 0.03)","(0.01, 0.04)","(0.0, 0.04)","(0.0, 0.04)",0.04
"(0.08, 0.08)","(0.0, 0.08)","(0.1, 0.18)","(0, 0.18)",0.18
"(0.03, 0.03)","(0.02, 0.05)","(0.05, 0.1)","(0.2, 0.30000000000000004)",0.30000000000000004
"(0.0222, 0.0222)","(0.015, 0.0372)","(0.0, 0.0372)","(0.0595, 0.0967)",0.0967
"(0.02, 0.02)","(0.015, 0.035)","(0.12, 0.155)","(0, 0.155)",0.155
"(0.02, 0.02)","(0.0135, 0.0335)","(0.12, 0.1535)","(0, 0.1535)",0.1535
"(0.0225, 0.0225)","(0.015, 0.0375)","(0.12, 0.1575)","(0, 0.1575)",0.1575
"(0.021, 0.021)","(0.0, 0.021)","(0.0, 0.021)","(0.039, 0.06)",0.06
"(0.035, 0.035)","(0.0, 0.035)","(0.0, 0.035)","(0.1837, 0.2187)",0.2187
"(0.095, 0.095)","(0.05, 0.14500000000000002)","(0.225, 0.37)","(0.0, 0.37)",0.37
"(0.04, 0.04)","(0, 0.04)","(0, 0.04)","(0, 0.04)",0.04
"(0.025, 0.025)","(0.0275, 0.052500000000000005)","(0.0, 0.052500000000000005)","(0.165, 0.21750000000000003)",0.21750000000000003
"(0.02, 0.02)","(0.0, 0.02)","(0.018, 0.038)","(0.0405, 0.0785)",0.0785
"(0.02, 0.02)","(0.0, 0.02)","(0.018, 0.038)","(0.0, 0.038)",0.038
"(0.1125, 0.1125)","(0, 0.1125)","(0, 0.1125)","(0, 0.1125)",0.1125
"(0.0225, 0.0225)","(0.0, 0.0225)","(0.04, 0.0625)","(0, 0.0625)",0.0625
"(0.021, 0.021)","(0.047, 0.068)","(0.141, 0.209)","(0, 0.209)",0.209
"(0.0225, 0.0225)","(0.0, 0.0225)","(0.0, 0.0225)","(0.035, 0.0575)",0.0575
"(0.021, 0.021)","(0.0, 0.021)","(0.0235, 0.0445)","(0.094, 0.1385)",0.1385
"(0.065, 0.065)","(0.0325, 0.0975)","(0, 0.0975)","(0, 0.0975)",0.0975
"(0.0225, 0.0225)","(0.0, 0.0225)","(0.03, 0.0525)","(0.0825, 0.135)",0.135
"(0.0681, 0.0681)","(0.0, 0.0681)","(0.0555, 0.12359999999999999)","(0, 0.12359999999999999)",0.12359999999999999
"(0.0681, 0.0681)","(0.0, 0.0681)","(0.1866, 0.2547)","(0, 0.2547)",0.2547
"(0.0825, 0.0825)","(0.18, 0.2625)","(0, 0.2625)","(0, 0.2625)",0.2625
"(0.021, 0.021)","(0.0, 0.021)","(0.0235, 0.0445)","(0.06, 0.1045)",0.1045
"(0.0275, 0.0275)","(0.0, 0.0275)","(0.03, 0.057499999999999996)","(0, 0.057499999999999996)",0.057499999999999996
"(0.03, 0.03)","(0.025, 0.055)","(0.11, 0.165)","(0, 0.165)",0.165
"(0.0275, 0.0275)","(0.0275, 0.055)","(0.0, 0.055)","(0.0, 0.055)",0.055
"(0.2625, 0.2625)","(0, 0.2625)","(0, 0.2625)","(0, 0.2625)",0.2625
"(0.025, 0.025)","(0.015, 0.04)","(0.05, 0.09)","(0.115, 0.20500000000000002)",0.20500000000000002
"(0.025, 0.025)","(0.0325, 0.0575)","(0.085, 0.14250000000000002)","(0.0, 0.14250000000000002)",0.14250000000000002
"(0.025, 0.025)","(0.0325, 0.0575)","(0.085, 0.14250000000000002)","(0.2425, 0.385)",0.385
"(0.025, 0.025)","(0.0, 0.025)","(0.025, 0.05)","(0, 0.05)",0.05
"(0.0205, 0.0205)","(0.0, 0.0205)","(0.069, 0.08950000000000001)","(0, 0.08950000000000001)",0.08950000000000001
"(0.021, 0.021)","(0.014, 0.035)","(0.06, 0.095)","(0, 0.095)",0.095
"(0.021, 0.021)","(0.014, 0.035)","(0.0, 0.035)","(0, 0.035)",0.035
"(0.02, 0.02)","(0.0135, 0.0335)","(0.06, 0.0935)","(0.0, 0.0935)",0.0935
"(0.2035, 0.2035)","(0, 0.2035)","(0, 0.2035)","(0, 0.2035)",0.2035
"(0.0875, 0.0875)","(0.09, 0.1775)","(0.0, 0.1775)","(0.0, 0.1775)",0.1775
"(0.02, 0.02)","(0.0675, 0.08750000000000001)","(0.1375, 0.22500000000000003)","(0.0, 0.22500000000000003)",0.22500000000000003
"(0.12, 0.12)","(0.0, 0.12)","(0.0, 0.12)","(0.075, 0.195)",0.195
"(0.025, 0.025)","(0.025, 0.05)","(0.0, 0.05)","(0.04, 0.09)",0.09
"(0.0705, 0.0705)","(0.045, 0.11549999999999999)","(0.0, 0.11549999999999999)","(0, 0.11549999999999999)",0.11549999999999999
"(0.0705, 0.0705)","(0.045, 0.11549999999999999)","(0.15, 0.26549999999999996)","(0, 0.26549999999999996)",0.26549999999999996
"(0.02, 0.02)","(0.09, 0.11)","(0, 0.11)","(0, 0.11)",0.11
"(0.065, 0.065)","(0.0, 0.065)","(0.16, 0.225)","(0.775, 1.0)",1.0
"(0.0225, 0.0225)","(0.125, 0.1475)","(0, 0.1475)","(0, 0.1475)",0.1475
"(0.021, 0.021)","(0.0235, 0.0445)","(0.0, 0.0445)","(0.047, 0.0915)",0.0915
"(0.07, 0.07)","(0.0, 0.07)","(0.045, 0.115)","(0, 0.115)",0.115
"(0.025, 0.025)","(0.015, 0.04)","(0.0, 0.04)","(0.055, 0.095)",0.095
"(0.0825, 0.0825)","(0.09, 0.1725)","(0.0, 0.1725)","(0.0, 0.1725)",0.1725
"(0.02, 0.02)","(0.0, 0.02)","(0.065, 0.085)","(0.0, 0.085)",0.085
"(0.03, 0.03)","(0.0, 0.03)","(0.0, 0.03)","(0.085, 0.115)",0.115
"(0.03, 0.03)","(0.0, 0.03)","(0.0, 0.03)","(0.0425, 0.07250000000000001)",0.07250000000000001
"(0.0287, 0.0287)","(0.0312, 0.059899999999999995)","(0.0, 0.059899999999999995)","(0.0624, 0.12229999999999999)",0.12229999999999999
"(0.265, 0.265)","(0.135, 0.4)","(0, 0.4)","(0, 0.4)",0.4
"(0.265, 0.265)","(0.0, 0.265)","(0, 0.265)","(0, 0.265)",0.265
"(0.025, 0.025)","(0.0412, 0.06620000000000001)","(0, 0.06620000000000001)","(0, 0.06620000000000001)",0.06620000000000001
"(0.1225, 0.1225)","(0.0, 0.1225)","(0.0, 0.1225)","(0.55, 0.6725000000000001)",0.6725000000000001
"(0.0225, 0.0225)","(0.0, 0.0225)","(0.0875, 0.10999999999999999)","(0.0, 0.10999999999999999)",0.10999999999999999
"(0.021, 0.021)","(0.0, 0.021)","(0.0, 0.021)","(0.047, 0.068)",0.068
"(0.0222, 0.0222)","(0.03, 0.052199999999999996)","(0, 0.052199999999999996)","(0, 0.052199999999999996)",0.052199999999999996
"(0.07, 0.07)","(0.15, 0.22)","(0, 0.22)","(0, 0.22)",0.22
"(0.1625, 0.1625)","(0.0, 0.1625)","(0.0, 0.1625)","(0.15, 0.3125)",0.3125
"(0.0275, 0.0275)","(0.0275, 0.055)","(0.0, 0.055)","(0.055, 0.11)",0.11
"(0.07, 0.07)","(0.0, 0.07)","(0.0, 0.07)","(0.1135, 0.1835)",0.1835
"(0.025, 0.025)","(0.0, 0.025)","(0.0275, 0.052500000000000005)","(0.11, 0.1625)",0.1625
"(0.07, 0.07)","(0.05, 0.12000000000000001)","(0.16, 0.28)","(0, 0.28)",0.28
"(0.03, 0.03)","(0.0, 0.03)","(0.03, 0.06)","(0.0, 0.06)",0.06
"(0.025, 0.025)","(0.0, 0.025)","(0.0412, 0.06620000000000001)","(0, 0.06620000000000001)",0.06620000000000001
"(0.02, 0.02)","(0.01, 0.03)","(0.052, 0.08199999999999999)","(0.0845, 0.16649999999999998)",0.16649999999999998
"(0.02, 0.02)","(0.01, 0.03)","(0.052, 0.08199999999999999)","(0.0, 0.08199999999999999)",0.08199999999999999
"(0.2785, 0.2785)","(0, 0.2785)","(0, 0.2785)","(0, 0.2785)",0.2785
"(0.0225, 0.0225)","(0.1312, 0.1537)","(0.0, 0.1537)","(0, 0.1537)",0.1537
"(0.0225, 0.0225)","(0.1312, 0.1537)","(0.2415, 0.3952)","(0, 0.3952)",0.3952
"(0.0225, 0.0225)","(0.055, 0.0775)","(0.0, 0.0775)","(0.0, 0.0775)",0.0775
"(0.1061, 0.1061)","(0.08, 0.1861)","(0.0, 0.1861)","(0.0, 0.1861)",0.1861
"(0.025, 0.025)","(0.0275, 0.052500000000000005)","(0.0275, 0.08)","(0.11, 0.19)",0.19
"(0.065, 0.065)","(0.0, 0.065)","(0.25, 0.315)","(0.685, 1.0)",1.0
"(0.02, 0.02)","(0.0, 0.02)","(0.0, 0.02)","(0.035, 0.05500000000000001)",0.05500000000000001
"(0.0225, 0.0225)","(0.06, 0.08249999999999999)","(0.27, 0.35250000000000004)","(0, 0.35250000000000004)",0.35250000000000004
"(0.025, 0.025)","(0.0, 0.025)","(0.0412, 0.06620000000000001)","(0.2061, 0.2723)",0.2723
"(0.025, 0.025)","(0.03, 0.055)","(0.06, 0.11499999999999999)","(0.0, 0.11499999999999999)",0.11499999999999999
"(0.0675, 0.0675)","(0.0675, 0.135)","(0, 0.135)","(0, 0.135)",0.135
"(0.0225, 0.0225)","(0.025, 0.0475)","(0.0, 0.0475)","(0.08, 0.1275)",0.1275
"(0.0225, 0.0225)","(0.035, 0.0575)","(0.0, 0.0575)","(0.0937, 0.1512)",0.1512
"(0.0225, 0.0225)","(0.025, 0.0475)","(0.0, 0.0475)","(0.065, 0.1125)",0.1125
"(0.1025, 0.1025)","(0.0, 0.1025)","(0.0, 0.1025)","(0, 0.1025)",0.1025
"(0.1025, 0.1025)","(0.0, 0.1025)","(0.22, 0.3225)","(0, 0.3225)",0.3225
"(0.2075, 0.2075)","(0.7925, 1.0)","(0, 1.0)","(0, 1.0)",1.0
"(0.075, 0.075)","(0.075, 0.15)","(0.0, 0.15)","(0, 0.15)",0.15
"(0.075, 0.075)","(0.075, 0.15)","(0.3, 0.44999999999999996)","(0, 0.44999999999999996)",0.44999999999999996
"(0.07, 0.07)","(0.0, 0.07)","(0.155, 0.225)","(0, 0.225)",0.225
"(0.085, 0.085)","(0.12, 0.20500000000000002)","(0, 0.20500000000000002)","(0, 0.20500000000000002)",0.20500000000000002
"(0.02, 0.02)","(0.0112, 0.0312)","(0.0, 0.0312)","(0.022, 0.0532)",0.0532
"(0.02, 0.02)","(0.0112, 0.0312)","(0.0, 0.0312)","(0.0, 0.0312)",0.0312
"(0.0725, 0.0725)","(0.0, 0.0725)","(0.05, 0.1225)","(0.165, 0.2875)",0.2875
"(0.0725, 0.0725)","(0.0, 0.0725)","(0.05, 0.1225)","(0.0, 0.1225)",0.1225
"(0.02, 0.02)","(0.0225, 0.042499999999999996)","(0.045, 0.0875)","(0, 0.0875)",0.0875
"(0.0225, 0.0225)","(0.025, 0.0475)","(0.075, 0.1225)","(0.0, 0.1225)",0.1225
"(0.0, 0.0)","(0.01, 0.01)","(0.0, 0.01)","(0.03, 0.04)",0.04
"(0.03, 0.03)","(0.015, 0.045)","(0.12, 0.16499999999999998)","(0, 0.16499999999999998)",0.16499999999999998
"(0.03, 0.03)","(0.0, 0.03)","(0.03, 0.06)","(0.09, 0.15)",0.15
"(0.0612, 0.0612)","(0.155, 0.2162)","(0.7838, 1.0)","(0, 1.0)",1.0
"(0.0612, 0.0612)","(0.155, 0.2162)","(0.2437, 0.4599)","(0, 0.4599)",0.4599
"(0.0, 0.0)","(0.01, 0.01)","(0.13, 0.14)","(0.1, 0.24000000000000002)",0.24000000000000002
"(0.0, 0.0)","(0.01, 0.01)","(0.13, 0.14)","(0.0, 0.14)",0.14
"(0.077, 0.077)","(0.0, 0.077)","(0, 0.077)","(0, 0.077)",0.077
"(0.077, 0.077)","(0.13, 0.20700000000000002)","(0, 0.20700000000000002)","(0, 0.20700000000000002)",0.20700000000000002
"(0.0225, 0.0225)","(0.0375, 0.06)","(0.0, 0.06)","(0.125, 0.185)",0.185
"(0.02, 0.02)","(0.0, 0.02)","(0.075, 0.095)","(0.275, 0.37)",0.37
"(0.0225, 0.0225)","(0.0375, 0.06)","(0.125, 0.185)","(0, 0.185)",0.185
"(0.085, 0.085)","(0.045, 0.13)","(0.135, 0.265)","(0.0, 0.265)",0.265
"(0.0225, 0.0225)","(0.025, 0.0475)","(0.085, 0.1325)","(0, 0.1325)",0.1325
"(0.02, 0.02)","(0.0, 0.02)","(0.045, 0.065)","(0.2025, 0.2675)",0.2675
"(0.025, 0.025)","(0.075, 0.1)","(0, 0.1)","(0, 0.1)",0.1
"(0.02, 0.02)","(0.035, 0.05500000000000001)","(0.18, 0.235)","(0, 0.235)",0.235
"(0.02, 0.02)","(0.0, 0.02)","(0.0, 0.02)","(0.0375, 0.057499999999999996)",0.057499999999999996
"(0.085, 0.085)","(0.09, 0.175)","(0.825, 1.0)","(0, 1.0)",1.0
"(0.025, 0.025)","(0.0275, 0.052500000000000005)","(0.11, 0.1625)","(0, 0.1625)",0.1625
"(0.0225, 0.0225)","(0.0, 0.0225)","(0.0, 0.0225)","(0.125, 0.1475)",0.1475
"(0.0225, 0.0225)","(0.0, 0.0225)","(0.0, 0.0225)","(0.02, 0.042499999999999996)",0.042499999999999996
"(0.02, 0.02)","(0.0, 0.02)","(0.0, 0.02)","(0.1625, 0.1825)",0.1825
"(0.02, 0.02)","(0.0325, 0.052500000000000005)","(0.085, 0.1375)","(0.225, 0.36250000000000004)",0.36250000000000004
"(0.02, 0.02)","(0.0325, 0.052500000000000005)","(0.085, 0.1375)","(0.8625, 1.0)",1.0
"(0.03, 0.03)","(0.045, 0.075)","(0.123, 0.198)","(0.0, 0.198)",0.198
"(0.2137, 0.2137)","(0.1093, 0.323)","(0.0, 0.323)","(0.0, 0.323)",0.323
"(0.0225, 0.0225)","(0.0, 0.0225)","(0.0575, 0.08)","(0.0, 0.08)",0.08
"(0.0, 0.0)","(0.01, 0.01)","(0.0, 0.01)","(0.0135, 0.0235)",0.0235
"(0.02, 0.02)","(0.0, 0.02)","(0.0137, 0.0337)","(0.0412, 0.0749)",0.0749
"(0.02, 0.02)","(0.0, 0.02)","(0.0137, 0.0337)","(0.0, 0.0337)",0.0337
"(0.0225, 0.0225)","(0.0275, 0.05)","(0.055, 0.10500000000000001)","(0, 0.10500000000000001)",0.10500000000000001
"(0.0703, 0.0703)","(0, 0.0703)","(0, 0.0703)","(0, 0.0703)",0.0703
"(0.04, 0.04)","(0.02, 0.06)","(0.1, 0.16)","(0.0, 0.16)",0.16
"(0.0969, 0.0969)","(0, 0.0969)","(0, 0.0969)","(0, 0.0969)",0.0969
"(0.0, 0.0)","(0.02, 0.02)","(0.03, 0.05)","(0, 0.05)",0.05
"(0.0, 0.0)","(0.02, 0.02)","(0.1, 0.12000000000000001)","(0, 0.12000000000000001)",0.12000000000000001
"(0.135, 0.135)","(0.08, 0.21500000000000002)","(0.145, 0.36)","(0.64, 1.0)",1.0
"(0.07, 0.07)","(0.0555, 0.1255)","(0.175, 0.3005)","(0.6995, 1.0)",1.0
"(0.076, 0.076)","(0, 0.076)","(0, 0.076)","(0, 0.076)",0.076
"(0.0775, 0.0775)","(0.0, 0.0775)","(0.1237, 0.2012)","(0.3125, 0.5137)",0.5137
"(0.0775, 0.0775)","(0.0, 0.0775)","(0.1237, 0.2012)","(0.0, 0.2012)",0.2012
"(0.021, 0.021)","(0.015, 0.036000000000000004)","(0.11, 0.14600000000000002)","(0, 0.14600000000000002)",0.14600000000000002
"(0.0211, 0.0211)","(0.045, 0.06609999999999999)","(0, 0.06609999999999999)","(0, 0.06609999999999999)",0.06609999999999999
"(0.025, 0.025)","(0.0, 0.025)","(0.0, 0.025)","(0.0335, 0.0585)",0.0585
"(0.1075, 0.1075)","(0.0808, 0.1883)","(0, 0.1883)","(0, 0.1883)",0.1883
"(0.025, 0.025)","(0.0, 0.025)","(0.0, 0.025)","(0.055, 0.08)",0.08
"(0.0225, 0.0225)","(0.0375, 0.06)","(0.0, 0.06)","(0.1085, 0.16849999999999998)",0.16849999999999998
"(0.02, 0.02)","(0.015, 0.035)","(0.0444, 0.0794)","(0, 0.0794)",0.0794
"(0.075, 0.075)","(0.0425, 0.1175)","(0, 0.1175)","(0, 0.1175)",0.1175
"(0.025, 0.025)","(0.02, 0.045)","(0, 0.045)","(0, 0.045)",0.045
"(0.0225, 0.0225)","(0.025, 0.0475)","(0.0875, 0.135)","(0, 0.135)",0.135
"(0.0225, 0.0225)","(0.025, 0.0475)","(0.0, 0.0475)","(0.3, 0.3475)",0.3475
"(0.0525, 0.0525)","(0.09, 0.1425)","(0.0, 0.1425)","(0.0, 0.1425)",0.1425
"(0.0799, 0.0799)","(0.1698, 0.2497)","(0.0, 0.2497)","(0.0, 0.2497)",0.2497
"(0.0215, 0.0215)","(0.015, 0.0365)","(0.0, 0.0365)","(0.0, 0.0365)",0.0365
"(0.0215, 0.0215)","(0.015, 0.0365)","(0.0, 0.0365)","(0.078, 0.11449999999999999)",0.11449999999999999
"(0.03, 0.03)","(0.0, 0.03)","(0.045, 0.075)","(0.1125, 0.1875)",0.1875
"(0.0224, 0.0224)","(0.0, 0.0224)","(0.076, 0.0984)","(0.0, 0.0984)",0.0984
"(0.0224, 0.0224)","(0.0, 0.0224)","(0.076, 0.0984)","(0.3675, 0.4659)",0.4659
"(0.0225, 0.0225)","(0.045, 0.0675)","(0.24, 0.3075)","(0, 0.3075)",0.3075
"(0.0675, 0.0675)","(0.0, 0.0675)","(0.075, 0.14250000000000002)","(0, 0.14250000000000002)",0.14250000000000002
"(0.0225, 0.0225)","(0.0, 0.0225)","(0.08, 0.10250000000000001)","(0, 0.10250000000000001)",0.10250000000000001
"(0.0769, 0.0769)","(0.0, 0.0769)","(0.11, 0.1869)","(0.0, 0.1869)",0.1869
"(0.0769, 0.0769)","(0.0, 0.0769)","(0.11, 0.1869)","(0.5925, 0.7794000000000001)",0.7794000000000001
"(0.0225, 0.0225)","(0.0125, 0.035)","(0.075, 0.11)","(0, 0.11)",0.11
"(0.03, 0.03)","(0.015, 0.045)","(0.0, 0.045)","(0.03, 0.075)",0.075
"(0.02, 0.02)","(0.0225, 0.042499999999999996)","(0.09, 0.1325)","(0, 0.1325)",0.1325
"(0.0224, 0.0224)","(0.0275, 0.0499)","(0, 0.0499)","(0, 0.0499)",0.0499
"(0.09, 0.09)","(0.0, 0.09)","(0.0, 0.09)","(0.19, 0.28)",0.28
"(0.0225, 0.0225)","(0.09, 0.11249999999999999)","(0.08, 0.1925)","(0.15, 0.3425)",0.3425
"(0.0225, 0.0225)","(0.09, 0.11249999999999999)","(0.08, 0.1925)","(0.0, 0.1925)",0.1925
"(0.0225, 0.0225)","(0.0175, 0.04)","(0.0637, 0.10370000000000001)","(0, 0.10370000000000001)",0.10370000000000001
"(0.03, 0.03)","(0.025, 0.055)","(0.0, 0.055)","(0.055, 0.11)",0.11
"(0.022, 0.022)","(0, 0.022)","(0, 0.022)","(0, 0.022)",0.022
"(0.073, 0.073)","(0, 0.073)","(0, 0.073)","(0, 0.073)",0.073
"(0.0225, 0.0225)","(0.0, 0.0225)","(0.0, 0.0225)","(0.0275, 0.05)",0.05
"(0.1, 0.1)","(0.07, 0.17)","(0, 0.17)","(0, 0.17)",0.17
"(0.0225, 0.0225)","(0.0, 0.0225)","(0.0, 0.0225)","(0.1375, 0.16)",0.16
"(0.0225, 0.0225)","(0.0, 0.0225)","(0.0, 0.0225)","(0.155, 0.1775)",0.1775
"(0.11, 0.11)","(0.0, 0.11)","(0.1725, 0.2825)","(0.0, 0.2825)",0.2825
"(0.025, 0.025)","(0.0275, 0.052500000000000005)","(0.22, 0.2725)","(0.7275, 1.0)",1.0
"(0.03, 0.03)","(0.048, 0.078)","(0.0, 0.078)","(0.922, 1.0)",1.0
"(0.0225, 0.0225)","(0.0165, 0.039)","(0.0, 0.039)","(0, 0.039)",0.039
"(0.0225, 0.0225)","(0.0165, 0.039)","(0.132, 0.171)","(0, 0.171)",0.171
"(0.0225, 0.0225)","(0.0, 0.0225)","(0.14, 0.1625)","(0, 0.1625)",0.1625
"(0.0999, 0.0999)","(0.07, 0.1699)","(0.0, 0.1699)","(0, 0.1699)",0.1699
"(0.0999, 0.0999)","(0.07, 0.1699)","(0.2, 0.3699)","(0, 0.3699)",0.3699
"(0.0235, 0.0235)","(0.0285, 0.052000000000000005)","(0.15, 0.202)","(0, 0.202)",0.202
"(0.099, 0.099)","(0, 0.099)","(0, 0.099)","(0, 0.099)",0.099
"(0.0225, 0.0225)","(0.085, 0.10750000000000001)","(0.07, 0.17750000000000002)","(0.24, 0.4175)",0.4175
"(0.07, 0.07)","(0.05, 0.12000000000000001)","(0.185, 0.305)","(0.3725, 0.6775)",0.6775
"(0.07, 0.07)","(0.05, 0.12000000000000001)","(0.185, 0.305)","(0.0, 0.305)",0.305
"(0.021, 0.021)","(0.0, 0.021)","(0.0352, 0.0562)","(0.0, 0.0562)",0.0562
"(0.021, 0.021)","(0.0, 0.021)","(0.0352, 0.0562)","(0.1174, 0.1736)",0.1736
"(0.0999, 0.0999)","(0.18, 0.2799)","(0.0, 0.2799)","(0.7201, 1.0)",1.0
"(0.0999, 0.0999)","(0.18, 0.2799)","(0.0, 0.2799)","(0.0, 0.2799)",0.2799
"(0.0, 0.0)","(0.0625, 0.0625)","(0.0475, 0.11)","(0.88, 0.99)",0.99
"(0.0, 0.0)","(0.0625, 0.0625)","(0.0475, 0.11)","(0.28, 0.39)",0.39
"(0.07, 0.07)","(0.2225, 0.2925)","(0, 0.2925)","(0, 0.2925)",0.2925
"(0.07, 0.07)","(0.0725, 0.14250000000000002)","(0, 0.14250000000000002)","(0, 0.14250000000000002)",0.14250000000000002
"(0.02, 0.02)","(0.0325, 0.052500000000000005)","(0.096, 0.14850000000000002)","(0, 0.14850000000000002)",0.14850000000000002
"(0.02, 0.02)","(0.0325, 0.052500000000000005)","(0.0, 0.052500000000000005)","(0, 0.052500000000000005)",0.052500000000000005
"(0.0766, 0.0766)","(0.06, 0.1366)","(0, 0.1366)","(0, 0.1366)",0.1366
"(0.11, 0.11)","(0.14, 0.25)","(0.0, 0.25)","(0.0, 0.25)",0.25
"(0.0225, 0.0225)","(0.02, 0.042499999999999996)","(0.0, 0.042499999999999996)","(0.075, 0.1175)",0.1175
"(0.065, 0.065)","(0.055, 0.12)","(0.0, 0.12)","(0.555, 0.675)",0.675
"(0.07, 0.07)","(0.055, 0.125)","(0.3625, 0.4875)","(0, 0.4875)",0.4875
"(0.07, 0.07)","(0.055, 0.125)","(0.1325, 0.2575)","(0, 0.2575)",0.2575
"(0.021, 0.021)","(0.0235, 0.0445)","(0.0, 0.0445)","(0.1325, 0.177)",0.177
"(0.1986, 0.1986)","(0, 0.1986)","(0, 0.1986)","(0, 0.1986)",0.1986
"(0.025, 0.025)","(0.0, 0.025)","(0.06, 0.08499999999999999)","(0.36, 0.44499999999999995)",0.44499999999999995
"(0.025, 0.025)","(0.0, 0.025)","(0.06, 0.08499999999999999)","(0.135, 0.22)",0.22
"(0.0, 0.0)","(0.0, 0.0)","(0.01, 0.01)","(0.03, 0.04)",0.04
"(0.02, 0.02)","(0.1225, 0.1425)","(0, 0.1425)","(0, 0.1425)",0.1425
"(0.1775, 0.1775)","(0.2775, 0.455)","(0, 0.455)","(0, 0.455)",0.455
"(0.1775, 0.1775)","(0.0912, 0.2687)","(0, 0.2687)","(0, 0.2687)",0.2687
"(0.03, 0.03)","(0.0, 0.03)","(0.045, 0.075)","(0.1156, 0.1906)",0.1906
"(0.0225, 0.0225)","(0.015, 0.0375)","(0.0, 0.0375)","(0.0637, 0.10120000000000001)",0.10120000000000001
"(0.0225, 0.0225)","(0.0, 0.0225)","(0.025, 0.0475)","(0.275, 0.3225)",0.3225
"(0.0225, 0.0225)","(0.0, 0.0225)","(0.025, 0.0475)","(0.08, 0.1275)",0.1275
"(0.07, 0.07)","(0.105, 0.175)","(0, 0.175)","(0, 0.175)",0.175
"(0.105, 0.105)","(0.075, 0.18)","(0.22, 0.4)","(0, 0.4)",0.4
"(0.02, 0.02)","(0.0, 0.02)","(0.09, 0.11)","(0, 0.11)",0.11
"(0.0287, 0.0287)","(0.0, 0.0287)","(0.0, 0.0287)","(0.0312, 0.059899999999999995)",0.059899999999999995
"(0.0225, 0.0225)","(0.045, 0.0675)","(0.245, 0.3125)","(0.6875, 1.0)",1.0
"(0.0225, 0.0225)","(0.025, 0.0475)","(0.0, 0.0475)","(0.135, 0.1825)",0.1825
"(0.2118, 0.2118)","(0.175, 0.3868)","(0.6132, 1.0)","(0, 1.0)",1.0
"(0.2118, 0.2118)","(0.175, 0.3868)","(0.0, 0.3868)","(0, 0.3868)",0.3868
"(0.095, 0.095)","(0.065, 0.16)","(0, 0.16)","(0, 0.16)",0.16
"(0.08, 0.08)","(0.0, 0.08)","(0.0825, 0.1625)","(0.165, 0.3275)",0.3275
"(0.08, 0.08)","(0.0, 0.08)","(0.0825, 0.1625)","(0.0, 0.1625)",0.1625
"(0.021, 0.021)","(0.015, 0.036000000000000004)","(0.05, 0.08600000000000001)","(0.0, 0.08600000000000001)",0.08600000000000001
"(0.02, 0.02)","(0.0675, 0.08750000000000001)","(0, 0.08750000000000001)","(0, 0.08750000000000001)",0.08750000000000001
"(0.085, 0.085)","(0.0, 0.085)","(0.0, 0.085)","(0.27, 0.35500000000000004)",0.35500000000000004
"(0.02, 0.02)","(0.0412, 0.061200000000000004)","(0, 0.061200000000000004)","(0, 0.061200000000000004)",0.061200000000000004
"(0.1223, 0.1223)","(0.0, 0.1223)","(0.0, 0.1223)","(0.0, 0.1223)",0.1223
"(0.03, 0.03)","(0.0, 0.03)","(0.03, 0.06)","(0.0712, 0.13119999999999998)",0.13119999999999998
"(0.0225, 0.0225)","(0.0275, 0.05)","(0.0825, 0.1325)","(0, 0.1325)",0.1325
"(0.02, 0.02)","(0.035, 0.05500000000000001)","(0.12, 0.175)","(0, 0.175)",0.175
"(0.11, 0.11)","(0.069, 0.179)","(0.123, 0.302)","(0.698, 1.0)",1.0
"(0.025, 0.025)","(0.0, 0.025)","(0.0135, 0.0385)","(0, 0.0385)",0.0385
"(0.021, 0.021)","(0.0235, 0.0445)","(0.0, 0.0445)","(0.0315, 0.076)",0.076
"(0.08, 0.08)","(0.055, 0.135)","(0.0, 0.135)","(0.14, 0.275)",0.275
"(0.025, 0.025)","(0.075, 0.1)","(0.0, 0.1)","(0.35, 0.44999999999999996)",0.44999999999999996
"(0.0925, 0.0925)","(0.081, 0.1735)","(0.0, 0.1735)","(0, 0.1735)",0.1735
"(0.0925, 0.0925)","(0.081, 0.1735)","(0.215, 0.38849999999999996)","(0, 0.38849999999999996)",0.38849999999999996
"(0.075, 0.075)","(0.05, 0.125)","(0, 0.125)","(0, 0.125)",0.125
"(0.0222, 0.0222)","(0.015, 0.0372)","(0.0794, 0.1166)","(0, 0.1166)",0.1166
"(0.0225, 0.0225)","(0.0412, 0.0637)","(0.1374, 0.2011)","(0.7989, 1.0)",1.0
