preflop,flop,turn,river,total
"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.015, 0.015)",0.015
"(0.0225, 0.0225)","(0.045, 0.0675)","(0.0999, 0.1674)","(0.0, 0.1674)",0.1674
"(0.07, 0.07)","(0.05, 0.12000000000000001)","(0, 0.12000000000000001)","(0, 0.12000000000000001)",0.12000000000000001
"(0.0225, 0.0225)","(0.0375, 0.06)","(0.19, 0.25)","(0, 0.25)",0.25
"(0.0225, 0.0225)","(0.0375, 0.06)","(0.0, 0.06)","(0, 0.06)",0.06
"(0.0225, 0.0225)","(0.0, 0.0225)","(0.0375, 0.06)","(0.095, 0.155)",0.155
"(0.09, 0.09)","(0.0, 0.09)","(0.0, 0.09)","(0.0825, 0.1725)",0.1725
"(0.0225, 0.0225)","(0.0, 0.0225)","(0.0, 0.0225)","(0.03, 0.0525)",0.0525
"(0.0233, 0.0233)","(0, 0.0233)","(0, 0.0233)","(0, 0.0233)",0.0233
"(0.0738, 0.0738)","(0, 0.0738)","(0, 0.0738)","(0, 0.0738)",0.0738
"(0.0225, 0.0225)","(0.0, 0.0225)","(0.1625, 0.185)","(0, 0.185)",0.185
"(0.08, 0.08)","(0, 0.08)","(0, 0.08)","(0, 0.08)",0.08
"(0.0225, 0.0225)","(0.0, 0.0225)","(0.045, 0.0675)","(0, 0.0675)",0.0675
"(0.025, 0.025)","(0.0175, 0.0425)","(0.0, 0.0425)","(0.0, 0.0425)",0.0425
"(0.0225, 0.0225)","(0.0, 0.0225)","(0.0, 0.0225)","(0.01, 0.0325)",0.0325
"(0.1075, 0.1075)","(0.085, 0.1925)","(0.0, 0.1925)","(0.8075, 1.0)",1.0
"(0.03, 0.03)","(0.045, 0.075)","(0, 0.075)","(0, 0.075)",0.075
"(0.072, 0.072)","(0.055, 0.127)","(0, 0.127)","(0, 0.127)",0.127
"(0.0235, 0.0235)","(0.0, 0.0235)","(0, 0.0235)","(0, 0.0235)",0.0235
"(0.0235, 0.0235)","(0.02, 0.0435)","(0, 0.0435)","(0, 0.0435)",0.0435
"(0.0225, 0.0225)","(0.03, 0.0525)","(0.0725, 0.125)","(0.0, 0.125)",0.125
"(0.0225, 0.0225)","(0.03, 0.0525)","(0.0725, 0.125)","(0.12, 0.245)",0.245
"(0.0362, 0.0362)","(0.0, 0.0362)","(0.0218, 0.058)","(0.2619, 0.3199)",0.3199
"(0.0362, 0.0362)","(0.0, 0.0362)","(0.0218, 0.058)","(0.0982, 0.1562)",0.1562
"(0.03, 0.03)","(0.0, 0.03)","(0.0, 0.03)","(0.045, 0.075)",0.075
"(0.0225, 0.0225)","(0.0, 0.0225)","(0.0, 0.0225)","(0.025, 0.0475)",0.0475
"(0.0, 0.0)","(0.0, 0.0)","(0.02, 0.02)","(0, 0.02)",0.02
"(0.0211, 0.0211)","(0.0475, 0.0686)","(0, 0.0686)","(0, 0.0686)",0.0686
"(0.0211, 0.0211)","(0.0, 0.0211)","(0, 0.0211)","(0, 0.0211)",0.0211
"(0.11, 0.11)","(0, 0.11)","(0, 0.11)","(0, 0.11)",0.11
"(0.0275, 0.0275)","(0.0, 0.0275)","(0, 0.0275)","(0, 0.0275)",0.0275
"(0.0275, 0.0275)","(0.11, 0.1375)","(0, 0.1375)","(0, 0.1375)",0.1375
"(0.02, 0.02)","(0.0115, 0.0315)","(0, 0.0315)","(0, 0.0315)",0.0315
"(0.025, 0.025)","(0.0, 0.025)","(0.0, 0.025)","(0.0455, 0.07050000000000001)",0.07050000000000001
"(0.0211, 0.0211)","(0.055, 0.0761)","(0, 0.0761)","(0, 0.0761)",0.0761
"(0.02, 0.02)","(0.0, 0.02)","(0.0, 0.02)","(0.165, 0.185)",0.185
"(0.02, 0.02)","(0.0, 0.02)","(0.0, 0.02)","(0.0275, 0.0475)",0.0475
"(0.0225, 0.0225)","(0.0, 0.0225)","(0.025, 0.0475)","(0, 0.0475)",0.0475
"(0.0675, 0.0675)","(0, 0.0675)","(0, 0.0675)","(0, 0.0675)",0.0675
"(0.133, 0.133)","(0.0, 0.133)","(0, 0.133)","(0, 0.133)",0.133
"(0.133, 0.133)","(0.18, 0.313)","(0, 0.313)","(0, 0.313)",0.313
"(0.075, 0.075)","(0.0, 0.075)","(0.225, 0.3)","(0, 0.3)",0.3
"(0.075, 0.075)","(0.0, 0.075)","(0.0, 0.075)","(0, 0.075)",0.075
"(0.0769, 0.0769)","(0, 0.0769)","(0, 0.0769)","(0, 0.0769)",0.0769
"(0.0215, 0.0215)","(0.0, 0.0215)","(0.015, 0.0365)","(0, 0.0365)",0.0365
"(0.0215, 0.0215)","(0.0, 0.0215)","(0.0, 0.0215)","(0, 0.0215)",0.0215
"(0.12, 0.12)","(0.0825, 0.2025)","(0.185, 0.3875)","(0.6125, 1.0)",1.0
"(0.02, 0.02)","(0.0225, 0.042499999999999996)","(0.0, 0.042499999999999996)","(0.09, 0.1325)",0.1325
"(0.14, 0.14)","(0.14, 0.28)","(0, 0.28)","(0, 0.28)",0.28
"(0.14, 0.14)","(0.0, 0.14)","(0, 0.14)","(0, 0.14)",0.14
"(0.0825, 0.0825)","(0, 0.0825)","(0, 0.0825)","(0, 0.0825)",0.0825
"(0.0225, 0.0225)","(0.0175, 0.04)","(0.1275, 0.1675)","(0, 0.1675)",0.1675
"(0.1225, 0.1225)","(0.0625, 0.185)","(0.2812, 0.4662)","(0.5338, 1.0)",1.0
"(0.03, 0.03)","(0.0175, 0.0475)","(0.0575, 0.10500000000000001)","(0, 0.10500000000000001)",0.10500000000000001
"(0.03, 0.03)","(0.0175, 0.0475)","(0.0, 0.0475)","(0, 0.0475)",0.0475
"(0.22, 0.22)","(0, 0.22)","(0, 0.22)","(0, 0.22)",0.22
"(0.445, 0.445)","(0, 0.445)","(0, 0.445)","(0, 0.445)",0.445
"(0.0769, 0.0769)","(0.0, 0.0769)","(0.12, 0.1969)","(0, 0.1969)",0.1969
"(0.1225, 0.1225)","(0.125, 0.2475)","(0.0, 0.2475)","(0.0, 0.2475)",0.2475
"(0.1225, 0.1225)","(0.125, 0.2475)","(0.0, 0.2475)","(0.25, 0.4975)",0.4975
"(0.0725, 0.0725)","(0, 0.0725)","(0, 0.0725)","(0, 0.0725)",0.0725
"(0.0224, 0.0224)","(0.0, 0.0224)","(0.03, 0.0524)","(0, 0.0524)",0.0524
"(0.0224, 0.0224)","(0.0, 0.0224)","(0.0, 0.0224)","(0, 0.0224)",0.0224
"(0.0211, 0.0211)","(0.011, 0.032100000000000004)","(0, 0.032100000000000004)","(0, 0.032100000000000004)",0.032100000000000004
"(0.1325, 0.1325)","(0.0, 0.1325)","(0.0, 0.1325)","(0.0, 0.1325)",0.1325
"(0.1325, 0.1325)","(0.0, 0.1325)","(0.0, 0.1325)","(0.08, 0.21250000000000002)",0.21250000000000002
"(0.025, 0.025)","(0.095, 0.12)","(0, 0.12)","(0, 0.12)",0.12
"(0.025, 0.025)","(0.015, 0.04)","(0, 0.04)","(0, 0.04)",0.04
"(0.0225, 0.0225)","(0.06, 0.08249999999999999)","(0, 0.08249999999999999)","(0, 0.08249999999999999)",0.08249999999999999
"(0.085, 0.085)","(0, 0.085)","(0, 0.085)","(0, 0.085)",0.085
"(0.025, 0.025)","(0.0, 0.025)","(0.0, 0.025)","(0.05, 0.07500000000000001)",0.07500000000000001
"(0.0225, 0.0225)","(0.0, 0.0225)","(0.02, 0.042499999999999996)","(0.0, 0.042499999999999996)",0.042499999999999996
"(0.0225, 0.0225)","(0.0, 0.0225)","(0.02, 0.042499999999999996)","(0.0675, 0.11)",0.11
"(0.021, 0.021)","(0.015, 0.036000000000000004)","(0.0, 0.036000000000000004)","(0.0, 0.036000000000000004)",0.036000000000000004
"(0.12, 0.12)","(0, 0.12)","(0, 0.12)","(0, 0.12)",0.12
"(0.0225, 0.0225)","(0.0, 0.0225)","(0.0, 0.0225)","(0.0375, 0.06)",0.06
"(0.02, 0.02)","(0.0, 0.02)","(0.08, 0.1)","(0.0, 0.1)",0.1
"(0.02, 0.02)","(0.0, 0.02)","(0.08, 0.1)","(0.175, 0.275)",0.275
"(0.0235, 0.0235)","(0.0, 0.0235)","(0.015, 0.0385)","(0, 0.0385)",0.0385
"(0.035, 0.035)","(0.0, 0.035)","(0.0, 0.035)","(0.035, 0.07)",0.07
"(0.072, 0.072)","(0.055, 0.127)","(0.18, 0.307)","(0.0, 0.307)",0.307
"(0.025, 0.025)","(0.015, 0.04)","(0.0, 0.04)","(0.144, 0.184)",0.184
"(0.0225, 0.0225)","(0.0, 0.0225)","(0.0225, 0.045)","(0, 0.045)",0.045
"(0.0211, 0.0211)","(0.0125, 0.033600000000000005)","(0, 0.033600000000000005)","(0, 0.033600000000000005)",0.033600000000000005
"(0.02, 0.02)","(0.011, 0.031)","(0.0, 0.031)","(0.067, 0.098)",0.098
"(0.02, 0.02)","(0.011, 0.031)","(0.0, 0.031)","(0.0, 0.031)",0.031
"(0.12, 0.12)","(0.075, 0.195)","(0.1975, 0.3925)","(0, 0.3925)",0.3925
"(0.12, 0.12)","(0.075, 0.195)","(0.0, 0.195)","(0, 0.195)",0.195
"(0.1075, 0.1075)","(0.08, 0.1875)","(0.21, 0.39749999999999996)","(0.0, 0.39749999999999996)",0.39749999999999996
"(0.0225, 0.0225)","(0.0, 0.0225)","(0.075, 0.0975)","(0.15, 0.2475)",0.2475
"(0.125, 0.125)","(0, 0.125)","(0, 0.125)","(0, 0.125)",0.125
"(0.0225, 0.0225)","(0.0, 0.0225)","(0.09, 0.11249999999999999)","(0, 0.11249999999999999)",0.11249999999999999
"(0.0766, 0.0766)","(0, 0.0766)","(0, 0.0766)","(0, 0.0766)",0.0766
"(0.0225, 0.0225)","(0.0, 0.0225)","(0.015, 0.0375)","(0.06, 0.0975)",0.0975
"(0.0225, 0.0225)","(0.0, 0.0225)","(0.0137, 0.036199999999999996)","(0.0824, 0.1186)",0.1186
"(0.0225, 0.0225)","(0.0125, 0.035)","(0, 0.035)","(0, 0.035)",0.035
"(0.0225, 0.0225)","(0.0, 0.0225)","(0.0375, 0.06)","(0.0937, 0.1537)",0.1537
"(0.23, 0.23)","(0, 0.23)","(0, 0.23)","(0, 0.23)",0.23
"(0.085, 0.085)","(0.0, 0.085)","(0.135, 0.22000000000000003)","(0.0, 0.22000000000000003)",0.22000000000000003
"(0.0975, 0.0975)","(0.0, 0.0975)","(0, 0.0975)","(0, 0.0975)",0.0975
"(0.0975, 0.0975)","(0.1, 0.1975)","(0, 0.1975)","(0, 0.1975)",0.1975
"(0.025, 0.025)","(0.06, 0.08499999999999999)","(0.0, 0.08499999999999999)","(0.0, 0.08499999999999999)",0.08499999999999999
"(0.021, 0.021)","(0.026, 0.047)","(0, 0.047)","(0, 0.047)",0.047
"(0.2425, 0.2425)","(0, 0.2425)","(0, 0.2425)","(0, 0.2425)",0.2425
"(0.03, 0.03)","(0.0, 0.03)","(0.045, 0.075)","(0, 0.075)",0.075
"(0.07, 0.07)","(0.05, 0.12000000000000001)","(0.175, 0.295)","(0.0, 0.295)",0.295
"(0.02, 0.02)","(0.0, 0.02)","(0.0225, 0.042499999999999996)","(0, 0.042499999999999996)",0.042499999999999996
"(0.0225, 0.0225)","(0.0, 0.0225)","(0.0, 0.0225)","(0.015, 0.0375)",0.0375
"(0.229, 0.229)","(0, 0.229)","(0, 0.229)","(0, 0.229)",0.229
"(0.065, 0.065)","(0.0, 0.065)","(0.045, 0.11)","(0.0, 0.11)",0.11
"(0.065, 0.065)","(0.0, 0.065)","(0.045, 0.11)","(0.1175, 0.22749999999999998)",0.22749999999999998
"(0.02, 0.02)","(0.0135, 0.0335)","(0, 0.0335)","(0, 0.0335)",0.0335
"(0.1225, 0.1225)","(0.0, 0.1225)","(0, 0.1225)","(0, 0.1225)",0.1225
"(0.1225, 0.1225)","(0.0625, 0.185)","(0, 0.185)","(0, 0.185)",0.185
"(0.025, 0.025)","(0.0, 0.025)","(0.0, 0.025)","(0.1475, 0.1725)",0.1725
