blinds,stacks,pre_flop_bets,flop_bets,turn_bets,river_bets
"[50, 100]","[10000, 10000]","{'Budd': 225, 'MrWhite': 225}","{'MrWhite': 0, 'Budd': 150}",{},{}
"[50, 100]","[10000, 10000]","{'Bill': 225, 'Budd': 225}","{'Budd': 0, 'Bill': 0}","{'Budd': 750, 'Bill': 0}",{}
"[50, 100]","[10000, 10000]","{'MrBlue': 225, 'Bill': 900}",{},{},{}
"[50, 100]","[10000, 10000]","{'MrWhite': 225, 'Bill': 225}","{'MrWhite': 300, 'Bill': 300}","{'MrWhite': 0, 'Bill': 400}",{}
"[50, 100]","[10000, 10000]","{'Pluribus': 200, 'Bill': 200}","{'Bill': 225, 'Pluribus': 225}","{'Bill': 0, 'Pluribus': 0}","{'Bill': 450, 'Pluribus': 450}"
"[50, 100]","[10000, 10000]","{'MrOrange': 200, 'Pluribus': 200}","{'Pluribus': 150, 'MrOrange': 150}","{'Pluribus': 575, 'MrOrange': 575}","{'Pluribus': 0, 'MrOrange': 3100}"
"[50, 100]","[10000, 10000]","{'MrBlue': 225, 'Budd': 720}",{},{},{}
"[50, 100]","[10000, 10000]","{'Pluribus': 200, 'MrWhite': 200}","{'MrWhite': 0, 'Pluribus': 225}",{},{}
"[50, 100]","[10000, 10000]","{'Pluribus': 200, 'Bill': 200}","{'Bill': 0, 'Pluribus': 225}",{},{}
"[50, 100]","[10000, 10000]","{'Bill': 0, 'Pluribus': 0}","{'Bill': 100, 'Pluribus': 0}",{},{}
"[50, 100]","[10000, 10000]","{'Budd': 225, 'MrOrange': 225}","{'MrOrange': 0, 'Budd': 175}",{},{}
"[50, 100]","[10000, 10000]","{'Bill': 225, 'MrWhite': 225}","{'MrWhite': 250, 'Bill': 250}","{'MrWhite': 1000, 'Bill': 1000}","{'MrWhite': 0, 'Bill': 3000}"
"[50, 100]","[10000, 10000]","{'MrBlue': 0, 'Budd': 0}","{'MrBlue': 0, 'Budd': 0}","{'MrBlue': 0, 'Budd': 0}","{'MrBlue': 150, 'Budd': 150}"
"[50, 100]","[10000, 10000]","{'MrWhite': 225, 'MrBlue': 225}","{'MrWhite': 450, 'MrBlue': 450}","{'MrWhite': 999, 'MrBlue': 999}","{'MrWhite': 0, 'MrBlue': 0}"
"[50, 100]","[10000, 10000]","{'MrWhite': 225, 'MrOrange': 225}","{'MrOrange': 0, 'MrWhite': 0}","{'MrOrange': 0, 'MrWhite': 0}","{'MrOrange': 0, 'MrWhite': 0}"
"[50, 100]","[10000, 10000]","{'Budd': 700, 'Bill': 700}","{'Budd': 0, 'Bill': 500}",{},{}
"[50, 100]","[10000, 10000]","{'MrWhite': 225, 'Pluribus': 225}","{'Pluribus': 0, 'MrWhite': 250}",{},{}
"[50, 100]","[10000, 10000]","{'Budd': 225, 'MrBlue': 225}","{'MrBlue': 375, 'Budd': 375}","{'MrBlue': 0, 'Budd': 1900}",{}
"[50, 100]","[10000, 10000]","{'MrBlue': 225, 'Bill': 225}","{'Bill': 0, 'MrBlue': 0}","{'Bill': 375, 'MrBlue': 375}","{'Bill': 950, 'MrBlue': 0}"
"[50, 100]","[10000, 10000]","{'MrBlue': 900, 'Bill': 900}","{'Bill': 0, 'MrBlue': 0}","{'Bill': 0, 'MrBlue': 0}","{'Bill': 0, 'MrBlue': 825}"
"[50, 100]","[10000, 10000]","{'Budd': 225, 'Pluribus': 225}","{'Pluribus': 0, 'Budd': 0}","{'Pluribus': 0, 'Budd': 0}","{'Pluribus': 300, 'Budd': 300}"
"[50, 100]","[10000, 10000]","{'MrWhite': 225, 'Budd': 720}",{},{},{}
"[50, 100]","[10000, 10000]","{'Hattori': 233, 'MrBlue': 738}",{},{},{}
"[50, 100]","[10000, 10000]","{'MrBlue': 225, 'MrWhite': 225}","{'MrWhite': 0, 'MrBlue': 0}","{'MrWhite': 1625, 'MrBlue': 375}",{}
"[50, 100]","[10000, 10000]","{'Budd': 225, 'Hattori': 800}",{},{},{}
"[50, 100]","[10000, 10000]","{'MrWhite': 225, 'MrOrange': 225}","{'MrWhite': 0, 'MrOrange': 0}","{'MrWhite': 450, 'MrOrange': 0}",{}
"[50, 100]","[10000, 10000]","{'Budd': 250, 'MrOrange': 250}","{'MrOrange': 175, 'Budd': 175}","{'MrOrange': 0, 'Budd': 0}","{'MrOrange': 0, 'Budd': 0}"
"[50, 100]","[10000, 10000]","{'MrBlue': 225, 'Hattori': 225}","{'Hattori': 0, 'MrBlue': 0}","{'Hattori': 0, 'MrBlue': 0}","{'Hattori': 100, 'MrBlue': 100}"
"[50, 100]","[10000, 10000]","{'Pluribus': 200, 'MrBlue': 200}","{'MrBlue': 0, 'Pluribus': 225}",{},{}
"[50, 100]","[10000, 10000]","{'Hattori': 1075, 'MrBlue': 1075}","{'MrBlue': 850, 'Hattori': 850}","{'MrBlue': 0, 'Hattori': 0}","{'MrBlue': 8075, 'Hattori': 8075}"
"[50, 100]","[10000, 10000]","{'Budd': 300, 'MrWhite': 300}","{'Budd': 0, 'MrWhite': 450}",{},{}
"[50, 100]","[10000, 10000]","{'Hattori': 720, 'Budd': 720}","{'Hattori': 0, 'Budd': 550}",{},{}
"[50, 100]","[10000, 10000]","{'MrOrange': 250, 'Hattori': 250}","{'MrOrange': 0, 'Hattori': 0}","{'MrOrange': 0, 'Hattori': 0}","{'MrOrange': 0, 'Hattori': 0}"
"[50, 100]","[10000, 10000]","{'Hattori': 235, 'MrBlue': 235}","{'Hattori': 0, 'MrBlue': 200}",{},{}
"[50, 100]","[10000, 10000]","{'Budd': 225, 'MrWhite': 225}","{'Budd': 300, 'MrWhite': 300}","{'Budd': 725, 'MrWhite': 725}","{'Budd': 0, 'MrWhite': 1200}"
