blinds,stacks,pre_flop_bets,flop_bets,turn_bets,river_bets
"[50, 100]","[10000, 10000]","{'ORen': 200, 'MrOrange': 200}","{'MrOrange': 0, 'ORen': 275}",{},{}
"[50, 100]","[10000, 10000]","{'Bill': 225, 'Pluribus': 825}",{},{},{}
"[50, 100]","[10000, 10000]","{'ORen': 200, 'MrBlue': 200}","{'MrBlue': 0, 'ORen': 0}","{'MrBlue': 962, 'ORen': 962}","{'MrBlue': 0, 'ORen': 0}"
"[50, 100]","[10000, 10000]","{'Hattori': 211, 'MrOrange': 211}","{'MrOrange': 0, 'Hattori': 150}",{},{}
"[50, 100]","[10000, 10000]","{'Bill': 250, 'Pluribus': 250}","{'Pluribus': 0, 'Bill': 275}",{},{}
"[50, 100]","[10000, 10000]","{'Bill': 225, 'Hattori': 1250}",{},{},{}
"[50, 100]","[10000, 10000]","{'ORen': 200, 'MrBlue': 200}","{'MrBlue': 0, 'ORen': 150}",{},{}
"[50, 100]","[10000, 10000]","{'MrBlue': 350, 'Bill': 350}","{'MrBlue': 225, 'Bill': 225}","{'MrBlue': 0, 'Bill': 862}",{}
"[50, 100]","[10000, 10000]","{'Hattori': 200, 'MrBlue': 705}",{},{},{}
"[50, 100]","[10000, 10000]","{'Bill': 2375, 'ORen': 1100}",{},{},{}
"[50, 100]","[10000, 10000]","{'ORen': 0, 'Hattori': 300}",{},{},{}
"[50, 100]","[10000, 10000]","{'Hattori': 200, 'MrOrange': 200}","{'MrOrange': 500, 'Hattori': 500}","{'MrOrange': 500, 'Hattori': 500}","{'MrOrange': 2450, 'Hattori': 2450}"
"[50, 100]","[10000, 10000]","{'MrBlue': 10000, 'Bill': 10000}",{},{},{}
"[50, 100]","[10000, 10000]","{'MrOrange': 200, 'ORen': 200}","{'ORen': 0, 'MrOrange': 0}","{'ORen': 0, 'MrOrange': 0}","{'ORen': 0, 'MrOrange': 0}"
"[50, 100]","[10000, 10000]","{'MrBlue': 225, 'Hattori': 225}","{'Hattori': 250, 'MrBlue': 250}","{'Hattori': 0, 'MrBlue': 0}","{'Hattori': 0, 'MrBlue': 0}"
"[50, 100]","[10000, 10000]","{'ORen': 2600, 'Hattori': 1000}",{},{},{}
"[50, 100]","[10000, 10000]","{'MrBlue': 0, 'Bill': 0}","{'MrBlue': 0, 'Bill': 100}",{},{}
"[50, 100]","[10000, 10000]","{'MrBlue': 225, 'Pluribus': 225}","{'Pluribus': 0, 'MrBlue': 0}","{'Pluribus': 0, 'MrBlue': 0}","{'Pluribus': 250, 'MrBlue': 250}"
"[50, 100]","[10000, 10000]","{'Pluribus': 225, 'MrBlue': 225}","{'MrBlue': 0, 'Pluribus': 500}",{},{}
"[50, 100]","[10000, 10000]","{'MrBlue': 0, 'Bill': 0}","{'MrBlue': 400, 'Bill': 100}",{},{}
"[50, 100]","[10000, 10000]","{'MrOrange': 200, 'ORen': 200}","{'ORen': 0, 'MrOrange': 150}",{},{}
"[50, 100]","[10000, 10000]","{'Pluribus': 200, 'MrBlue': 200}","{'MrBlue': 0, 'Pluribus': 0}","{'MrBlue': 0, 'Pluribus': 0}","{'MrBlue': 337, 'Pluribus': 0}"
"[50, 100]","[10000, 10000]","{'Bill': 250, 'Pluribus': 250}","{'Pluribus': 0, 'Bill': 275}",{},{}
"[50, 100]","[10000, 10000]","{'MrBlue': 225, 'ORen': 225}","{'ORen': 0, 'MrBlue': 0}","{'ORen': 0, 'MrBlue': 375}",{}
"[50, 100]","[10000, 10000]","{'ORen': 300, 'Hattori': 300}","{'ORen': 150, 'Hattori': 150}","{'ORen': 2700, 'Hattori': 2700}","{'ORen': 6850, 'Hattori': 0}"
"[50, 100]","[10000, 10000]","{'MrBlue': 225, 'MrOrange': 225}","{'MrOrange': 725, 'MrBlue': 200}",{},{}
"[50, 100]","[10000, 10000]","{'Hattori': 200, 'Pluribus': 200}","{'Pluribus': 0, 'Hattori': 350}",{},{}
"[50, 100]","[10000, 10000]","{'Bill': 225, 'Pluribus': 225}","{'Pluribus': 0, 'Bill': 0}","{'Pluribus': 0, 'Bill': 0}","{'Pluribus': 1100, 'Bill': 0}"
"[50, 100]","[10000, 10000]","{'ORen': 0, 'Hattori': 0}","{'ORen': 100, 'Hattori': 100}","{'ORen': 0, 'Hattori': 0}","{'ORen': 0, 'Hattori': 200}"
"[50, 100]","[10000, 10000]","{'Pluribus': 225, 'MrBlue': 225}","{'MrBlue': 0, 'Pluribus': 500}",{},{}
"[50, 100]","[10000, 10000]","{'MrBlue': 350, 'Bill': 350}","{'MrBlue': 225, 'Bill': 225}","{'MrBlue': 862, 'Bill': 862}","{'MrBlue': 0, 'Bill': 0}"
"[50, 100]","[10000, 10000]","{'Bill': 250, 'Pluribus': 250}","{'Pluribus': 0, 'Bill': 0}","{'Pluribus': 550, 'Bill': 550}","{'Pluribus': 0, 'Bill': 0}"
"[50, 100]","[10000, 10000]","{'Bill': 700, 'MrOrange': 700}","{'Bill': 500, 'MrOrange': 500}","{'Bill': 0, 'MrOrange': 0}","{'Bill': 0, 'MrOrange': 1800}"
"[50, 100]","[10000, 10000]","{'MrBlue': 0, 'Bill': 0}","{'MrBlue': 100, 'Bill': 100}","{'MrBlue': 200, 'Bill': 200}","{'MrBlue': 0, 'Bill': 600}"
"[50, 100]","[10000, 10000]","{'Bill': 300, 'MrOrange': 800}",{},{},{}
"[50, 100]","[10000, 10000]","{'ORen': 200, 'MrBlue': 200}","{'MrBlue': 0, 'ORen': 125}",{},{}
"[50, 100]","[10000, 10000]","{'MrBlue': 300, 'Bill': 300}","{'MrBlue': 322, 'Bill': 322}","{'MrBlue': 0, 'Bill': 0}","{'MrBlue': 0, 'Bill': 0}"
"[50, 100]","[10000, 10000]","{'Bill': 225, 'ORen': 225}","{'ORen': 0, 'Bill': 250}",{},{}
"[50, 100]","[10000, 10000]","{'MrOrange': 200, 'MrBlue': 200}","{'MrBlue': 0, 'MrOrange': 0}","{'MrBlue': 725, 'MrOrange': 725}","{'MrBlue': 0, 'MrOrange': 0}"
"[50, 100]","[10000, 10000]","{'MrBlue': 350, 'Bill': 350}","{'MrBlue': 225, 'Bill': 225}","{'MrBlue': 0, 'Bill': 862}",{}
"[50, 100]","[10000, 10000]","{'Bill': 225, 'ORen': 225}","{'ORen': 0, 'Bill': 250}",{},{}
"[50, 100]","[10000, 10000]","{'MrOrange': 200, 'MrBlue': 200}","{'MrBlue': 0, 'MrOrange': 0}","{'MrBlue': 0, 'MrOrange': 0}","{'MrBlue': 0, 'MrOrange': 175}"
"[50, 100]","[10000, 10000]","{'ORen': 200, 'Bill': 200}","{'Bill': 337, 'ORen': 337}","{'Bill': 425, 'ORen': 425}","{'Bill': 0, 'ORen': 0}"
"[50, 100]","[10000, 10000]","{'Bill': 300, 'MrOrange': 300}","{'Bill': 0, 'MrOrange': 0}","{'Bill': 0, 'MrOrange': 0}","{'Bill': 0, 'MrOrange': 300}"
"[50, 100]","[10000, 10000]","{'Bill': 225, 'Hattori': 225}","{'Hattori': 0, 'Bill': 250}",{},{}
"[50, 100]","[10000, 10000]","{'ORen': 10000, 'MrBlue': 10000}",{},{},{}
"[50, 100]","[10000, 10000]","{'Pluribus': 225, 'Hattori': 225}","{'Pluribus': 200, 'Hattori': 200}","{'Pluribus': 250, 'Hattori': 0}",{}
"[50, 100]","[10000, 10000]","{'Hattori': 200, 'MrBlue': 200}","{'Hattori': 0, 'MrBlue': 2300}",{},{}
"[50, 100]","[10000, 10000]","{'MrBlue': 225, 'Pluribus': 225}","{'Pluribus': 0, 'MrBlue': 0}","{'Pluribus': 0, 'MrBlue': 0}","{'Pluribus': 0, 'MrBlue': 0}"
"[50, 100]","[10000, 10000]","{'Hattori': 750, 'MrBlue': 750}","{'Hattori': 600, 'MrBlue': 600}","{'Hattori': 0, 'MrBlue': 0}","{'Hattori': 0, 'MrBlue': 0}"
"[50, 100]","[10000, 10000]","{'MrBlue': 225, 'MrOrange': 225}","{'MrOrange': 0, 'MrBlue': 0}","{'MrOrange': 150, 'MrBlue': 150}","{'MrOrange': 350, 'MrBlue': 0}"
"[50, 100]","[10000, 10000]","{'ORen': 200, 'MrOrange': 200}","{'MrOrange': 0, 'ORen': 0}","{'MrOrange': 200, 'ORen': 0}",{}
"[50, 100]","[10000, 10000]","{'Hattori': 200, 'ORen': 200}","{'ORen': 0, 'Hattori': 150}",{},{}
"[50, 100]","[10000, 10000]","{'MrOrange': 900, 'ORen': 900}","{'ORen': 0, 'MrOrange': 0}","{'ORen': 0, 'MrOrange': 0}","{'ORen': 0, 'MrOrange': 0}"
"[50, 100]","[10000, 10000]","{'ORen': 200, 'MrBlue': 200}","{'MrBlue': 225, 'ORen': 225}","{'MrBlue': 0, 'ORen': 0}","{'MrBlue': 0, 'ORen': 675}"
"[50, 100]","[10000, 10000]","{'ORen': 200, 'Bill': 200}","{'Bill': 0, 'ORen': 150}",{},{}
"[50, 100]","[10000, 10000]","{'Pluribus': 225, 'MrWhite': 225}","{'MrWhite': 0, 'Pluribus': 0}","{'MrWhite': 0, 'Pluribus': 0}","{'MrWhite': 240, 'Pluribus': 730}"
"[50, 100]","[10000, 10000]","{'MrOrange': 210, 'Budd': 210}","{'Budd': 150, 'MrOrange': 150}","{'Budd': 0, 'MrOrange': 0}","{'Budd': 450, 'MrOrange': 450}"
"[50, 100]","[10000, 10000]","{'MrWhite': 2475, 'Pluribus': 2475}","{'Pluribus': 0, 'MrWhite': 0}","{'Pluribus': 0, 'MrWhite': 0}","{'Pluribus': 5000, 'MrWhite': 0}"
"[50, 100]","[10000, 10000]","{'MrBlue': 225, 'MrWhite': 225}","{'MrWhite': 0, 'MrBlue': 0}","{'MrWhite': 0, 'MrBlue': 0}","{'MrWhite': 0, 'MrBlue': 0}"
"[50, 100]","[10000, 10000]","{'MrOrange': 214, 'Budd': 214}","{'Budd': 0, 'MrOrange': 0}","{'Budd': 175, 'MrOrange': 175}","{'Budd': 0, 'MrOrange': 0}"
"[50, 100]","[10000, 10000]","{'Budd': 225, 'MrOrange': 225}","{'MrOrange': 0, 'Budd': 0}","{'MrOrange': 0, 'Budd': 199}",{}
"[50, 100]","[10000, 10000]","{'Pluribus': 200, 'MrOrange': 1000}",{},{},{}
"[50, 100]","[10000, 10000]","{'Pluribus': 775, 'MrWhite': 775}","{'MrWhite': 412, 'Pluribus': 412}","{'MrWhite': 0, 'Pluribus': 0}","{'MrWhite': 0, 'Pluribus': 0}"
"[50, 100]","[10000, 10000]","{'MrBlue': 350, 'Budd': 350}","{'MrBlue': 0, 'Budd': 250}",{},{}
"[50, 100]","[10000, 10000]","{'Budd': 300, 'Bill': 300}","{'Budd': 300, 'Bill': 300}","{'Budd': 0, 'Bill': 0}","{'Budd': 0, 'Bill': 0}"
"[50, 100]","[10000, 10000]","{'Bill': 250, 'MrOrange': 250}","{'MrOrange': 350, 'Bill': 350}","{'MrOrange': 1000, 'Bill': 1000}","{'MrOrange': 2500, 'Bill': 2500}"
"[50, 100]","[10000, 10000]","{'Pluribus': 200, 'Bill': 200}","{'Bill': 0, 'Pluribus': 0}","{'Bill': 0, 'Pluribus': 225}",{}
"[50, 100]","[10000, 10000]","{'Pluribus': 0, 'MrOrange': 0}","{'Pluribus': 200, 'MrOrange': 200}","{'Pluribus': 0, 'MrOrange': 0}","{'Pluribus': 0, 'MrOrange': 0}"
"[50, 100]","[10000, 10000]","{'Budd': 225, 'MrWhite': 225}","{'MrWhite': 175, 'Budd': 175}","{'MrWhite': 0, 'Budd': 700}",{}
"[50, 100]","[10000, 10000]","{'MrOrange': 200, 'Pluribus': 200}","{'Pluribus': 0, 'MrOrange': 150}",{},{}
"[50, 100]","[10000, 10000]","{'MrBlue': 225, 'MrOrange': 225}","{'MrOrange': 0, 'MrBlue': 0}","{'MrOrange': 0, 'MrBlue': 0}","{'MrOrange': 325, 'MrBlue': 325}"
"[50, 100]","[10000, 10000]","{'Pluribus': 225, 'MrBlue': 225}","{'MrBlue': 0, 'Pluribus': 500}",{},{}
"[50, 100]","[10000, 10000]","{'Pluribus': 200, 'Budd': 200}","{'Budd': 225, 'Pluribus': 225}","{'Budd': 225, 'Pluribus': 225}","{'Budd': 0, 'Pluribus': 0}"
"[50, 100]","[10000, 10000]","{'MrWhite': 225, 'MrBlue': 225}","{'MrWhite': 0, 'MrBlue': 0}","{'MrWhite': 0, 'MrBlue': 450}",{}
"[50, 100]","[10000, 10000]","{'MrWhite': 225, 'MrOrange': 225}","{'MrOrange': 0, 'MrWhite': 0}","{'MrOrange': 375, 'MrWhite': 0}",{}
"[50, 100]","[10000, 10000]","{'MrBlue': 0, 'Budd': 0}","{'MrBlue': 0, 'Budd': 0}","{'MrBlue': 0, 'Budd': 0}","{'MrBlue': 0, 'Budd': 0}"
"[50, 100]","[10000, 10000]","{'Bill': 0, 'Pluribus': 0}","{'Bill': 100, 'Pluribus': 0}",{},{}
"[50, 100]","[10000, 10000]","{'Pluribus': 250, 'MrBlue': 250}","{'MrBlue': 0, 'Pluribus': 0}","{'MrBlue': 0, 'Pluribus': 0}","{'MrBlue': 1560, 'Pluribus': 1560}"
"[50, 100]","[10000, 10000]","{'MrWhite': 225, 'Budd': 225}","{'Budd': 250, 'MrWhite': 250}","{'Budd': 0, 'MrWhite': 0}","{'Budd': 0, 'MrWhite': 0}"
"[50, 100]","[10000, 10000]","{'MrWhite': 225, 'Bill': 900}",{},{},{}
"[50, 100]","[10000, 10000]","{'MrWhite': 800, 'Bill': 800}","{'MrWhite': 0, 'Bill': 875}",{},{}
"[50, 100]","[10000, 10000]","{'MrBlue': 225, 'MrWhite': 225}","{'MrWhite': 0, 'MrBlue': 0}","{'MrWhite': 300, 'MrBlue': 300}","{'MrWhite': 0, 'MrBlue': 850}"
"[50, 100]","[10000, 10000]","{'Pluribus': 200, 'Bill': 200}","{'Bill': 0, 'Pluribus': 0}","{'Bill': 0, 'Pluribus': 112}",{}
"[50, 100]","[10000, 10000]","{'MrBlue': 225, 'Budd': 225}","{'MrBlue': 0, 'Budd': 0}","{'MrBlue': 0, 'Budd': 300}",{}
"[50, 100]","[10000, 10000]","{'Bill': 250, 'MrOrange': 250}","{'MrOrange': 350, 'Bill': 350}","{'MrOrange': 400, 'Bill': 400}","{'MrOrange': 0, 'Bill': 0}"
"[50, 100]","[10000, 10000]","{'MrOrange': 0, 'MrWhite': 0}","{'MrOrange': 100, 'MrWhite': 0}",{},{}
"[50, 100]","[10000, 10000]","{'Pluribus': 200, 'MrBlue': 200}","{'MrBlue': 0, 'Pluribus': 225}",{},{}
"[50, 100]","[10000, 10000]","{'MrBlue': 0, 'Budd': 0}","{'MrBlue': 0, 'Budd': 100}",{},{}
"[50, 100]","[10000, 10000]","{'MrBlue': 900, 'Budd': 900}","{'Budd': 950, 'MrBlue': 950}","{'Budd': 2900, 'MrBlue': 2900}","{'Budd': 0, 'MrBlue': 0}"
"[50, 100]","[10000, 10000]","{'Budd': 250, 'Bill': 1050}",{},{},{}
"[50, 100]","[10000, 10000]","{'MrOrange': 0, 'MrWhite': 0}","{'MrOrange': 0, 'MrWhite': 0}","{'MrOrange': 0, 'MrWhite': 0}","{'MrOrange': 0, 'MrWhite': 0}"
"[50, 100]","[10000, 10000]","{'MrWhite': 225, 'Bill': 225}","{'Bill': 0, 'MrWhite': 0}","{'Bill': 0, 'MrWhite': 0}","{'Bill': 0, 'MrWhite': 0}"
"[50, 100]","[10000, 10000]","{'Pluribus': 200, 'MrWhite': 200}","{'MrWhite': 0, 'Pluribus': 0}","{'MrWhite': 0, 'Pluribus': 112}",{}
"[50, 100]","[10000, 10000]","{'MrOrange': 200, 'Budd': 200}","{'Budd': 0, 'MrOrange': 150}",{},{}
"[50, 100]","[10000, 10000]","{'Budd': 300, 'MrOrange': 300}","{'Budd': 500, 'MrOrange': 500}","{'Budd': 0, 'MrOrange': 2100}",{}
"[50, 100]","[10000, 10000]","{'MrBlue': 225, 'MrOrange': 225}","{'MrOrange': 275, 'MrBlue': 275}","{'MrOrange': 915, 'MrBlue': 915}","{'MrOrange': 0, 'MrBlue': 2476}"
"[50, 100]","[10000, 10000]","{'MrWhite': 225, 'MrBlue': 225}","{'MrBlue': 0, 'MrWhite': 0}","{'MrBlue': 200, 'MrWhite': 200}","{'MrBlue': 0, 'MrWhite': 0}"
"[50, 100]","[10000, 10000]","{'MrBlue': 775, 'Pluribus': 775}","{'Pluribus': 412, 'MrBlue': 0}",{},{}
"[50, 100]","[10000, 10000]","{'Bill': 225, 'Budd': 225}","{'Budd': 0, 'Bill': 250}",{},{}
"[50, 100]","[10000, 10000]","{'MrWhite': 225, 'MrOrange': 225}","{'MrOrange': 350, 'MrWhite': 350}","{'MrOrange': 9425, 'MrWhite': 9425}",{}
"[50, 100]","[10000, 10000]","{'MrBlue': 1150, 'MrOrange': 1150}","{'MrOrange': 950, 'MrBlue': 950}","{'MrOrange': 0, 'MrBlue': 1725}",{}
"[50, 100]","[10000, 10000]","{'Bill': 0, 'MrBlue': 0}","{'Bill': 0, 'MrBlue': 0}","{'Bill': 300, 'MrBlue': 300}","{'Bill': 0, 'MrBlue': 0}"
"[50, 100]","[10000, 10000]","{'Budd': 2250, 'MrOrange': 700}",{},{},{}
"[50, 100]","[10000, 10000]","{'Bill': 225, 'MrWhite': 225}","{'MrWhite': 0, 'Bill': 350}",{},{}
"[50, 100]","[10000, 10000]","{'MrBlue': 225, 'Pluribus': 975}",{},{},{}
"[50, 100]","[10000, 10000]","{'Budd': 250, 'Bill': 250}","{'Bill': 150, 'Budd': 150}","{'Bill': 0, 'Budd': 425}",{}
"[50, 100]","[10000, 10000]","{'Bill': 0, 'MrBlue': 0}","{'Bill': 300, 'MrBlue': 300}","{'Bill': 300, 'MrBlue': 300}","{'Bill': 0, 'MrBlue': 0}"
"[50, 100]","[10000, 10000]","{'Pluribus': 200, 'Budd': 900}",{},{},{}
"[50, 100]","[10000, 10000]","{'MrBlue': 2250, 'Pluribus': 675}",{},{},{}
"[50, 100]","[10000, 10000]","{'Budd': 925, 'Bill': 925}","{'Bill': 650, 'Budd': 650}","{'Bill': 2250, 'Budd': 2250}","{'Bill': 6175, 'Budd': 0}"
"[50, 100]","[10000, 10000]","{'Bill': 250, 'Pluribus': 1350}",{},{},{}
"[50, 100]","[10000, 10000]","{'Bill': 225, 'MrWhite': 225}","{'MrWhite': 250, 'Bill': 250}","{'MrWhite': 0, 'Bill': 0}","{'MrWhite': 0, 'Bill': 0}"
"[50, 100]","[10000, 10000]","{'Pluribus': 225, 'Bill': 225}","{'Bill': 0, 'Pluribus': 250}",{},{}
"[50, 100]","[10000, 10000]","{'MrBlue': 350, 'Pluribus': 350}","{'MrBlue': 0, 'Pluribus': 1400}",{},{}
"[50, 100]","[10000, 10000]","{'MrBlue': 225, 'MrWhite': 225}","{'MrWhite': 0, 'MrBlue': 0}","{'MrWhite': 375, 'MrBlue': 375}","{'MrWhite': 9400, 'MrBlue': 937}"
"[50, 100]","[10000, 10000]","{'MrBlue': 225, 'MrOrange': 225}","{'MrOrange': 0, 'MrBlue': 0}","{'MrOrange': 250, 'MrBlue': 250}","{'MrOrange': 0, 'MrBlue': 0}"
"[50, 100]","[10000, 10000]","{'Pluribus': 200, 'Bill': 200}","{'Bill': 0, 'Pluribus': 0}","{'Bill': 225, 'Pluribus': 225}","{'Bill': 1350, 'Pluribus': 0}"
"[50, 100]","[10000, 10000]","{'Budd': 225, 'Pluribus': 225}","{'Pluribus': 0, 'Budd': 0}","{'Pluribus': 0, 'Budd': 250}",{}
"[50, 100]","[10000, 10000]","{'Bill': 225, 'Budd': 1150}",{},{},{}
"[50, 100]","[10000, 10000]","{'MrBlue': 225, 'Pluribus': 1050}",{},{},{}
"[50, 100]","[10000, 10000]","{'MrBlue': 225, 'Bill': 225}","{'Bill': 0, 'MrBlue': 250}",{},{}
"[50, 100]","[10000, 10000]","{'Bill': 0, 'MrBlue': 0}","{'Bill': 0, 'MrBlue': 0}","{'Bill': 150, 'MrBlue': 150}","{'Bill': 350, 'MrBlue': 1550}"
"[50, 100]","[10000, 10000]","{'MrWhite': 350, 'MrOrange': 350}","{'MrWhite': 0, 'MrOrange': 0}","{'MrWhite': 0, 'MrOrange': 0}","{'MrWhite': 550, 'MrOrange': 550}"
"[50, 100]","[10000, 10000]","{'MrBlue': 975, 'MrWhite': 975}","{'MrWhite': 1500, 'MrBlue': 0}",{},{}
"[50, 100]","[10000, 10000]","{'MrBlue': 225, 'Budd': 225}","{'Budd': 0, 'MrBlue': 0}","{'Budd': 0, 'MrBlue': 375}",{}
"[50, 100]","[10000, 10000]","{'Pluribus': 200, 'MrBlue': 200}","{'MrBlue': 0, 'Pluribus': 0}","{'MrBlue': 617, 'Pluribus': 112}",{}
"[50, 100]","[10000, 10000]","{'MrBlue': 912, 'Pluribus': 912}","{'Pluribus': 0, 'MrBlue': 0}","{'Pluribus': 2886, 'MrBlue': 0}",{}
"[50, 100]","[10000, 10000]","{'Pluribus': 250, 'MrOrange': 250}","{'MrOrange': 0, 'Pluribus': 0}","{'MrOrange': 0, 'Pluribus': 0}","{'MrOrange': 0, 'Pluribus': 0}"
"[50, 100]","[10000, 10000]","{'MrBlue': 225, 'MrWhite': 225}","{'MrWhite': 0, 'MrBlue': 0}","{'MrWhite': 500, 'MrBlue': 500}","{'MrWhite': 0, 'MrBlue': 2658}"
"[50, 100]","[10000, 10000]","{'Budd': 300, 'MrOrange': 300}","{'Budd': 300, 'MrOrange': 0}",{},{}
"[50, 100]","[10000, 10000]","{'MrWhite': 225, 'MrBlue': 225}","{'MrBlue': 0, 'MrWhite': 0}","{'MrBlue': 0, 'MrWhite': 412}",{}
"[50, 100]","[10000, 10000]","{'Budd': 250, 'Bill': 250}","{'Bill': 0, 'Budd': 0}","{'Bill': 175, 'Budd': 175}","{'Bill': 1800, 'Budd': 1800}"
"[50, 100]","[10000, 10000]","{'MrWhite': 300, 'Budd': 300}","{'MrWhite': 300, 'Budd': 0}",{},{}
"[50, 100]","[10000, 10000]","{'Budd': 250, 'Bill': 250}","{'Bill': 0, 'Budd': 450}",{},{}
"[50, 100]","[10000, 10000]","{'Budd': 225, 'MrBlue': 225}","{'MrBlue': 0, 'Budd': 0}","{'MrBlue': 0, 'Budd': 0}","{'MrBlue': 0, 'Budd': 0}"
"[50, 100]","[10000, 10000]","{'MrBlue': 225, 'MrWhite': 225}","{'MrWhite': 0, 'MrBlue': 0}","{'MrWhite': 250, 'MrBlue': 250}","{'MrWhite': 1000, 'MrBlue': 0}"
"[50, 100]","[10000, 10000]","{'Pluribus': 2070, 'MrWhite': 2070}","{'Pluribus': 2145, 'MrWhite': 0}",{},{}
"[50, 100]","[10000, 10000]","{'MrBlue': 300, 'Pluribus': 300}","{'MrBlue': 0, 'Pluribus': 0}","{'MrBlue': 0, 'Pluribus': 150}",{}
"[50, 100]","[10000, 10000]","{'MrBlue': 225, 'MrWhite': 225}","{'MrBlue': 0, 'MrWhite': 450}",{},{}
"[50, 100]","[10000, 10000]","{'Budd': 250, 'Bill': 250}","{'Bill': 175, 'Budd': 175}","{'Bill': 450, 'Budd': 450}","{'Bill': 0, 'Budd': 0}"
"[50, 100]","[10000, 10000]","{'Bill': 350, 'MrBlue': 350}","{'Bill': 0, 'MrBlue': 500}",{},{}
"[50, 100]","[10000, 10000]","{'Budd': 225, 'Pluribus': 225}","{'Pluribus': 0, 'Budd': 375}",{},{}
"[50, 100]","[10000, 10000]","{'Budd': 225, 'MrWhite': 225}","{'MrWhite': 0, 'Budd': 0}","{'MrWhite': 0, 'Budd': 0}","{'MrWhite': 800, 'Budd': 0}"
"[50, 100]","[10000, 10000]","{'Budd': 1150, 'MrOrange': 1150}","{'MrOrange': 800, 'Budd': 800}","{'MrOrange': 0, 'Budd': 2000}",{}
"[50, 100]","[10000, 10000]","{'Budd': 225, 'MrBlue': 225}","{'MrBlue': 250, 'Budd': 250}","{'MrBlue': 0, 'Budd': 1500}",{}
"[50, 100]","[10000, 10000]","{'MrBlue': 225, 'MrWhite': 225}","{'MrWhite': 0, 'MrBlue': 0}","{'MrWhite': 375, 'MrBlue': 0}",{}
"[50, 100]","[10000, 10000]","{'MrOrange': 200, 'Pluribus': 887}",{},{},{}
"[50, 100]","[10000, 10000]","{'MrWhite': 225, 'Bill': 225}","{'Bill': 0, 'MrWhite': 375}",{},{}
"[50, 100]","[10000, 10000]","{'MrOrange': 244, 'MrBlue': 244}","{'MrBlue': 0, 'MrOrange': 170}",{},{}
"[50, 100]","[10000, 10000]","{'Bill': 780, 'MrBlue': 780}","{'Bill': 0, 'MrBlue': 0}","{'Bill': 1015, 'MrBlue': 1015}","{'Bill': 0, 'MrBlue': 0}"
"[50, 100]","[10000, 10000]","{'Bill': 225, 'Budd': 225}","{'Budd': 0, 'Bill': 0}","{'Budd': 175, 'Bill': 0}",{}
"[50, 100]","[10000, 10000]","{'MrWhite': 225, 'MrOrange': 225}","{'MrOrange': 0, 'MrWhite': 0}","{'MrOrange': 750, 'MrWhite': 0}",{}
"[50, 100]","[10000, 10000]","{'Budd': 225, 'Bill': 225}","{'Bill': 0, 'Budd': 0}","{'Bill': 175, 'Budd': 175}","{'Bill': 650, 'Budd': 650}"
"[50, 100]","[10000, 10000]","{'Bill': 350, 'MrBlue': 350}","{'Bill': 300, 'MrBlue': 300}","{'Bill': 0, 'MrBlue': 0}","{'Bill': 0, 'MrBlue': 0}"
"[50, 100]","[10000, 10000]","{'Pluribus': 225, 'MrWhite': 225}","{'MrWhite': 0, 'Pluribus': 0}","{'MrWhite': 0, 'Pluribus': 0}","{'MrWhite': 0, 'Pluribus': 250}"
"[50, 100]","[10000, 10000]","{'Bill': 775, 'MrWhite': 775}","{'MrWhite': 825, 'Bill': 0}",{},{}
"[50, 100]","[10000, 10000]","{'Eddie': 300, 'Bill': 300}","{'Eddie': 300, 'Bill': 300}","{'Eddie': 0, 'Bill': 600}",{}
"[50, 100]","[10000, 10000]","{'MrWhite': 225, 'MrOrange': 225}","{'MrOrange': 0, 'MrWhite': 0}","{'MrOrange': 750, 'MrWhite': 0}",{}
"[50, 100]","[10000, 10000]","{'MrOrange': 250, 'MrWhite': 250}","{'MrOrange': 0, 'MrWhite': 0}","{'MrOrange': 0, 'MrWhite': 0}","{'MrOrange': 0, 'MrWhite': 0}"
"[50, 100]","[10000, 10000]","{'Bill': 225, 'Eddie': 225}","{'Eddie': 0, 'Bill': 250}",{},{}
"[50, 100]","[10000, 10000]","{'Bill': 300, 'Pluribus': 300}","{'Bill': 300, 'Pluribus': 0}",{},{}
"[50, 100]","[10000, 10000]","{'MrBlonde': 250, 'Pluribus': 250}","{'Pluribus': 0, 'MrBlonde': 400}",{},{}
"[50, 100]","[10000, 10000]","{'Bill': 1100, 'MrOrange': 1100}","{'MrOrange': 0, 'Bill': 0}","{'MrOrange': 0, 'Bill': 0}","{'MrOrange': 3500, 'Bill': 0}"
"[50, 100]","[10000, 10000]","{'MrWhite': 225, 'MrBlonde': 1050}",{},{},{}
"[50, 100]","[10000, 10000]","{'Eddie': 200, 'Pluribus': 200}","{'Pluribus': 0, 'Eddie': 0}","{'Pluribus': 0, 'Eddie': 0}","{'Pluribus': 250, 'Eddie': 250}"
"[50, 100]","[10000, 10000]","{'Eddie': 200, 'MrWhite': 200}","{'MrWhite': 0, 'Eddie': 100}",{},{}
"[50, 100]","[10000, 10000]","{'Bill': 225, 'MrBlonde': 225}","{'MrBlonde': 0, 'Bill': 0}","{'MrBlonde': 250, 'Bill': 250}","{'MrBlonde': 0, 'Bill': 500}"
"[50, 100]","[10000, 10000]","{'MrOrange': 200, 'Pluribus': 200}","{'Pluribus': 0, 'MrOrange': 0}","{'Pluribus': 225, 'MrOrange': 0}",{}
